Date;Repo Rate
01/06/22;3.75
01/05/22;3.75
01/04/22;3.75
01/03/22;3.75
12/31/21;3.75
12/30/21;3.75
12/29/21;3.75
12/28/21;3.75
12/27/21;3.75
12/23/21;3.75
12/22/21;2.75
12/21/21;2.75
12/20/21;2.75
12/17/21;2.75
12/16/21;2.75
12/15/21;2.75
12/14/21;2.75
12/13/21;2.75
12/10/21;2.75
12/09/21;2.75
12/08/21;2.75
12/07/21;2.75
12/06/21;2.75
12/03/21;2.75
12/02/21;2.75
12/01/21;2.75
11/30/21;2.75
11/29/21;2.75
11/26/21;2.75
11/25/21;2.75
11/24/21;2.75
11/23/21;2.75
11/22/21;2.75
11/19/21;2.75
11/18/21;2.75
11/16/21;2.75
11/15/21;2.75
11/12/21;2.75
11/11/21;2.75
11/10/21;2.75
11/09/21;2.75
11/08/21;2.75
11/05/21;2.75
11/04/21;1.5
11/03/21;1.5
11/02/21;1.5
11/01/21;1.5
10/29/21;1.5
10/27/21;1.5
10/26/21;1.5
10/25/21;1.5
10/22/21;1.5
10/21/21;1.5
10/20/21;1.5
10/19/21;1.5
10/18/21;1.5
10/15/21;1.5
10/14/21;1.5
10/13/21;1.5
10/12/21;1.5
10/11/21;1.5
10/08/21;1.5
10/07/21;1.5
10/06/21;1.5
10/05/21;1.5
10/04/21;1.5
10/01/21;1.5
09/30/21;0.75
09/29/21;0.75
09/27/21;0.75
09/24/21;0.75
09/23/21;0.75
09/22/21;0.75
09/21/21;0.75
09/20/21;0.75
09/17/21;0.75
09/16/21;0.75
09/15/21;0.75
09/14/21;0.75
09/13/21;0.75
09/10/21;0.75
09/09/21;0.75
09/08/21;0.75
09/07/21;0.75
